code,公司名稱,當月營收,上月營收,去年當月營收,上月比較 增減(%),去年同月 增減(%),當月累計營收,去年累計營收,前期比較 增減(%),備註,
1449,佳和,431567,210093,141755,105.41,204.44,431567,141755,204.44,訂單增加,431567
1451,年興,536487,544836,558008,-1.53,-3.85,536487,558008,-3.85,-,536487
1452,宏益,112920,126694,68343,-10.87,65.22,112920,68343,65.22,因上期適逢農曆春節工作日減少及市場需求疲弱，致本期營業收入淨額較去年同期增加。,112920
1454,台富,124338,119685,99448,3.88,25.02,124338,99448,25.02,-,124338
1455,集盛,804846,773864,437746,4.0,83.86,804846,437746,83.86,112年1月逢農曆春節營業天數減少1/3，113年1月回復正常營運日數且需求逐漸回溫，比較基期較低，二者影響致本期增加比例較大。,804846
1457,宜進,319900,228377,211612,40.07,51.17,319900,211612,51.17,"因112年1月適逢農曆新年,出貨日期較少天數,惟113年農曆新年在2月,故113年營業額較去年同期增加所致.",319900
1459,聯發,153764,146814,72580,4.73,111.85,153764,72580,111.85,112年適逢過年，實際銷售天數19天，致本期營業收入淨額較去年同期增加。,153764
1460,宏遠,683527,698235,613975,-2.1,11.32,683527,613975,11.32,-,683527
1463,強盛,24283,26140,24069,-7.1,0.88,24283,24069,0.88,-,24283
1464,得力,905992,930710,736967,-2.65,22.93,905992,736967,22.93,-,905992
1465,偉全,47181,59670,32188,-20.93,46.57,47181,32188,46.57,-,47181
1466,聚隆,208323,228784,132317,-8.94,57.44,208323,132317,57.44,因11３年１月營業天數較去年同期增加所致,208323
1467,南緯,467317,377315,365456,23.85,27.87,467317,365456,27.87,-,467317
1468,昶和,103202,100634,112248,2.55,-8.05,103202,112248,-8.05,-,103202
1470,大統新創,71331,52591,57982,35.63,23.02,71331,57982,23.02,-,71331
1473,台南,780692,631256,808935,23.67,-3.49,780692,808935,-3.49,-,780692
1474,弘裕,260413,263082,145194,-1.01,79.35,260413,145194,79.35,去年同期適逢農曆春節工作天數較少所致,260413
1475,業旺,148039,132193,102647,11.98,44.22,148039,102647,44.22,-,148039
1476,儒鴻,2629261,2681520,2103889,-1.94,24.97,2629261,2103889,24.97,-,2629261
1477,聚陽,2754588,3235356,2387509,-14.85,15.37,2754588,2387509,15.37,-,2754588
4414,如興,995277,1025945,930337,-2.98,6.98,995277,930337,6.98,-,995277
4426,利勤,88909,76831,89583,15.72,-0.75,88909,89583,-0.75,-,88909
4438,廣越,865459,806171,967101,7.35,-10.5,865459,967101,-10.5,-,865459
4440,宜新實業,85536,81232,73589,5.29,16.23,85536,73589,16.23,-,85536
1503,士電,3907628,2806421,3158454,39.23,23.71,3907628,3158454,23.71,-,3907628
1504,東元,4907676,5046457,4523185,-2.75,8.5,4907676,4523185,8.5,-,4907676
1506,正道,89592,91882,92757,-2.49,-3.41,89592,92757,-3.41,-,89592
1513,中興電,1942911,2015814,1775922,-3.61,9.4,1942911,1775922,9.4,-,1942911
1514,亞力,647456,1251523,526927,-48.26,22.87,647456,526927,22.87,-,647456
1515,力山,816161,856372,223148,-4.69,265.74,816161,223148,265.74,客戶銷售狀況好增加採購量,816161
1517,利奇,138747,160505,162096,-13.55,-14.4,138747,162096,-14.4,-,138747
1519,華城,674596,2575007,184019,-73.8,266.59,674596,184019,266.59,"本月較同期增加為公營及外銷案依顧客交期認列,故月營收起伏變化較大。",674596
1526,日馳,54200,40442,111668,34.01,-51.46,54200,111668,-51.46,因市場需求減少，致本月營收較去年同期減少。,54200
1527,鑽全,307345,188734,273295,62.84,12.45,307345,273295,12.45,-,307345
1528,恩德,266606,428100,282962,-37.72,-5.78,266606,282962,-5.78,-,266606
1529,樂事綠能,33602,110357,51634,-69.55,-34.92,33602,51634,-34.92,"本月因無台電變壓器交貨,致營收較去年同期減少",33602
1530,亞崴,98383,167007,163300,-41.09,-39.75,98383,163300,-39.75,-,98383
1531,高林股,145106,101308,105694,43.23,37.28,145106,105694,37.28,-,145106
1532,勤美,1344899,2627420,811722,-48.81,65.68,1344899,811722,65.68,兩期變動達50%以上，主係本月認列完工交屋營建收入較去年同期增加所致,1344899
1535,中宇,755860,1282039,634031,-41.04,19.21,755860,634031,19.21,-,755860
1537,廣隆,630244,561480,489898,12.24,28.64,630244,489898,28.64,-,630244
1538,正峰,7231,9039,15616,-20.0,-53.69,7231,15616,-53.69,減少低毛利接單，部份客戶訂單減少,7231
1539,巨庭,156669,131612,90674,19.03,72.78,156669,90674,72.78,國外市場需求增加,156669
1540,喬福,59190,64036,66884,-7.56,-11.5,59190,66884,-11.5,-,59190
1541,錩泰,286343,361612,203919,-20.81,40.41,286343,203919,40.41,-,286343
1558,伸興,697791,605923,505439,15.16,38.05,697791,505439,38.05,-,697791
1560,中砂,545065,513982,470383,6.04,15.87,545065,470383,15.87,-,545065
1583,程泰,300294,534672,277891,-43.83,8.06,300294,277891,8.06,-,300294
1597,直得,81027,91555,103999,-11.49,-22.08,81027,103999,-22.08,-,81027
2049,上銀,1800875,1846836,1447352,-2.48,24.42,1800875,1447352,24.42,-,1800875
2371,大同,3357012,6262368,3538518,-46.39,-5.12,3357012,3538518,-5.12,-,3357012
3167,大量,151408,154720,112189,-2.14,34.95,151408,112189,34.95,-,151408
4526,東台,505635,702516,434211,-28.02,16.44,505635,434211,16.44,-,505635
4532,瑞智,1668835,1671793,1133263,-0.17,47.25,1668835,1133263,47.25,-,1668835
4540,全球傳動,221068,170691,203363,29.51,8.7,221068,203363,8.7,-,221068
4555,氣立,117907,124876,74683,-5.58,57.87,117907,74683,57.87,本月及本年增減百分比達50%以上，原因為去年適逢農曆年，工作天期較少，基值較低,117907
4562,穎漢,70471,73812,67277,-4.52,4.74,70471,67277,4.74,-,70471
4564,元翎,67458,96656,135711,-30.2,-50.29,67458,135711,-50.29,本月營收較去年同期減少，主要係因高壓充氣鋼瓶及氣體發生器之出貨量均減少所致。,67458
4566,時碩工業,432598,328503,394380,31.68,9.69,432598,394380,9.69,-,432598
4572,駐龍,80561,71367,61792,12.88,30.37,80561,61792,30.37,-,80561
4576,大銀微系統,137217,198736,158313,-30.95,-13.32,137217,158313,-13.32,-,137217
4583,台灣精銳,216463,207682,163319,4.22,32.53,216463,163319,32.53,-,216463
6606,建德工業,72519,36314,44113,99.69,64.39,72519,44113,64.39,"工具機景氣稍稍回溫,建德集團全員努力的成果",72519
8222,寶一,59608,63822,45173,-6.6,31.95,59608,45173,31.95,-,59608
8374,羅昇,260867,214356,244562,21.69,6.66,260867,244562,6.66,-,260867
8996,高力,324381,275254,321223,17.84,0.98,324381,321223,0.98,-,324381
1603,華電,467824,290535,252349,61.02,85.38,467824,252349,85.38,"本公司產品為訂單式生產。營收增加主要係161KV電纜線90,085仟元、鋁包殷鋼絞線46,891仟元、瑞昱案等三工程51,983仟元。",467824
1604,聲寶,1014232,617286,991211,64.3,2.32,1014232,991211,2.32,-,1014232
1605,華新,13548978,13786274,15162554,-1.72,-10.64,13548978,15162554,-10.64,-,13548978
1608,華榮,966051,710308,791408,36.0,22.06,966051,791408,22.06,-,966051
1609,大亞,2332994,2762222,1721314,-15.53,35.53,2332994,1721314,35.53,-,2332994
1611,中電,120297,130294,105013,-7.67,14.55,120297,105013,14.55,-,120297
1612,宏泰,405580,754770,434387,-46.26,-6.63,405580,434387,-6.63,-,405580
1614,三洋電,475269,405765,496253,17.12,-4.22,475269,496253,-4.22,-,475269
1615,大山,294015,576895,207339,-49.03,41.8,294015,207339,41.8,-,294015
1616,億泰,321249,365420,262935,-12.08,22.17,321249,262935,22.17,-,321249
